year,date,stage,is_knockout,home_team,away_team,home_goals,away_goals,outcome,attendance
1962,1962-05-30 15:00:00,Group 4,0,Argentina,Bulgaria,1.0,0.0,home_win,7134.0
1962,1962-05-30 15:00:00,Group 2,0,Chile,Switzerland,3.0,1.0,home_win,65006.0
1962,1962-05-31 15:00:00,Group 1,0,Russia,Serbia,2.0,0.0,home_win,9622.0
1962,1962-05-31 15:00:00,Group 3,0,Czech Republic,Spain,1.0,0.0,home_win,12700.0
1962,1962-05-31 15:00:00,Group 4,0,Hungary,England,2.0,1.0,home_win,7938.0
1962,1962-05-31 15:00:00,Group 2,0,Germany FR,Italy,0.0,0.0,draw,65440.0
1962,1962-06-02 15:00:00,Group 1,0,Serbia,Uruguay,3.0,1.0,home_win,8829.0
1962,1962-06-02 15:00:00,Group 3,0,Brazil,Czech Republic,0.0,0.0,draw,14903.0
1962,1962-06-02 15:00:00,Group 4,0,England,Argentina,3.0,1.0,home_win,9794.0
1962,1962-06-02 15:00:00,Group 2,0,Chile,Italy,2.0,0.0,home_win,66057.0
1962,1962-06-03 15:00:00,Group 1,0,Russia,Colombia,4.0,4.0,draw,8040.0
1962,1962-06-03 15:00:00,Group 3,0,Spain,Mexico,1.0,0.0,home_win,11875.0
1962,1962-06-03 15:00:00,Group 4,0,Hungary,Bulgaria,6.0,1.0,home_win,7442.0
1962,1962-06-03 15:00:00,Group 2,0,Germany FR,Switzerland,2.0,1.0,home_win,64922.0
1962,1962-06-06 15:00:00,Group 1,0,Russia,Uruguay,2.0,1.0,home_win,9973.0
1962,1962-06-06 15:00:00,Group 3,0,Brazil,Spain,2.0,1.0,home_win,18715.0
1962,1962-06-06 15:00:00,Group 4,0,Hungary,Argentina,0.0,0.0,draw,7945.0
1962,1962-06-06 15:00:00,Group 2,0,Germany FR,Chile,2.0,0.0,home_win,67224.0
1962,1962-06-07 15:00:00,Group 1,0,Serbia,Colombia,5.0,0.0,home_win,7167.0
1962,1962-06-07 15:00:00,Group 3,0,Mexico,Czech Republic,3.0,1.0,home_win,10648.0
1962,1962-06-07 15:00:00,Group 4,0,England,Bulgaria,0.0,0.0,draw,5700.0
1962,1962-06-07 15:00:00,Group 2,0,Italy,Switzerland,3.0,0.0,home_win,59828.0
1962,1962-06-10 14:30:00,Quarter-finals,1,Chile,Russia,2.0,1.0,home_win,17268.0
1962,1962-06-10 14:30:00,Quarter-finals,1,Brazil,England,3.0,1.0,home_win,17736.0
1962,1962-06-10 14:30:00,Quarter-finals,1,Czech Republic,Hungary,1.0,0.0,home_win,11690.0
1962,1962-06-10 14:30:00,Quarter-finals,1,Serbia,Germany FR,1.0,0.0,home_win,63324.0
1962,1962-06-13 14:30:00,Semi-finals,1,Czech Republic,Serbia,3.0,1.0,home_win,5890.0
1962,1962-06-13 14:30:00,Semi-finals,1,Brazil,Chile,4.0,2.0,home_win,76594.0
1962,1962-06-16 14:30:00,Match for third place,1,Chile,Serbia,1.0,0.0,home_win,66697.0
1962,1962-06-17 14:30:00,Final,1,Brazil,Czech Republic,3.0,1.0,home_win,68679.0
1966,1966-07-11 19:30:00,Group 1,0,England,Uruguay,0.0,0.0,draw,87148.0
1966,1966-07-12 19:30:00,Group 2,0,Germany FR,Switzerland,5.0,0.0,home_win,36127.0
1966,1966-07-12 19:30:00,Group 3,0,Brazil,Bulgaria,2.0,0.0,home_win,47308.0
1966,1966-07-12 19:30:00,Group 4,0,Russia,North Korea,3.0,0.0,home_win,23006.0
1966,1966-07-13 19:30:00,Group 1,0,France,Mexico,1.0,1.0,draw,69237.0
1966,1966-07-13 19:30:00,Group 3,0,Portugal,Hungary,3.0,1.0,home_win,29886.0
